Lista,LP, ,Greedy, ,Greedy M2, ,Greedy M3, ,Greedy M4, ,Greedy M5, ,DTC 05, ,DTC 10, ,DTC 20, ,DTC 40, ,AG 5, ,AG 10, ,AG 20, ,AG 40, ,AG 80, ,AG 160, ,AG 320, 
 ,Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s)
random3-400.txt,"7026,47","264,373","7038,99","3,847","7031,0","11,172","7031,0","17,879","7026,47","53,509","7026,47","82,195","7037,08","14,416","7044,25","9,912","7033,79","7,501","7036,33","30,318","7329,07","5,513","7316,45","10,654","7376,28","20,723","7379,15","40,895","7363,09","81,052","7482,04","161,296","7485,91","321,171"
random34-400.txt,"2583,33","327,157","2602,51","4,678","2586,64","15,077","2583,85","22,703","2583,85","128,532","2583,33","456,581","2589,93","34,782","2593,96","13,1","2597,17","10,067","2603,11","14,349","2867,61","5,554","2914,41","10,622","2920,1","20,699","2988,77","40,878","2901,94","81,014","2955,37","161,049","2954,14","321,264"
random35-400.txt,"2701,82","68,228","2717,82","4,648","2706,51","10,48","2701,82","20,425","2701,82","23,155","2701,82","61,063","2718,05","7,191","2711,27","10,636","2711,74","11,014","2718,44","24,953","3118,53","5,613","2991,47","10,641","3068,16","20,794","3121,39","40,92","3061,78","81,007","3034,21","161,137","3093,28","321,352"
random36-400.txt,"1661,38","3962,933","1681,85","3,557","1663,62","22,704","1663,62","62,59","1661,65","352,621","1661,38","623,481","1676,22","173,328","1678,21","35,905","1665,56","13,915","1682,68","24,024","1931,48","5,625","1909,83","10,615","2008,22","20,821","2091,45","40,943","2011,65","81,017","2119,15","161,284","2046,0","321,448"
random37-400.txt,"4345,41","37,599","4355,31","5,079","4350,15","11,842","4347,71","19,675","4345,41","25,67","4345,41","44,476","4345,41","8,557","4345,41","8,008","4354,88","8,241","4351,4","11,606","4610,24","5,532","4738,69","10,514","4691,6","20,75","4754,85","41,008","4587,51","81,094","4760,92","161,107","4747,81","321,315"
random38-400.txt,"2701,05","172,678","2720,49","4,41","2704,22","10,889","2702,16","22,238","2701,05","83,409","2701,05","99,951","2709,06","13,305","2716,44","8,908","2712,11","15,128","2709,52","12,283","2992,51","5,51","3092,34","10,605","3039,51","20,795","3083,16","41,033","3017,87","81,052","3101,95","161,123","3146,64","321,44"
random39-400.txt,"9003,67","234,983","9030,33","3,988","9011,3","33,217","9003,67","38,682","9003,67","82,086","9003,67","98,842","9014,52","35,133","9027,49","6,414","9013,01","6,6","9017,5","23,612","9261,04","5,598","9207,68","10,62","9238,3","20,807","9318,65","41,037","9418,17","81,058","9396,63","161,34","9490,64","321,574"
random4-400.txt,"11172,31","3313,401","11190,51","4,494","11172,31","54,492","11172,31","251,133","11172,31","947,288","11172,31","840,049","11180,13","26,938","11176,73","9,468","11184,83","23,201","11179,59","19,099","11512,93","5,545","11699,36","10,547","11541,72","20,654","11499,26","40,909","11599,35","80,94","11594,68","161,119","11645,87","321,238"
random5-400.txt,"3359,06","787,609","3366,26","3,355","3366,26","14,954","3363,24","71,804","3360,34","107,953","3360,34","125,499","3375,41","11,366","3395,98","8,544","3380,85","8,662","3377,09","16,055","3658,85","5,524","3756,04","10,636","3769,96","20,667","3688,36","40,847","3725,4","81,066","3792,81","161,3","3848,24","321,306"
random6-400.txt,"2810,65","616,595","2835,38","4,932","2813,69","28,607","2813,69","211,712","2810,65","321,467","2810,65","419,174","2848,49","27,637","2828,2","11,802","2823,47","17,698","2819,15","13,809","3113,99","5,466","3074,86","10,483","3115,4","20,615","3199,06","40,83","3191,26","80,877","3147,65","161,108","3206,03","321,231"
random7-400.txt,"2375,79","137,891","2384,62","3,531","2381,39","9,479","2375,79","19,11","2375,79","62,859","2375,79","100,367","2398,55","10,23","2389,04","9,453","2385,67","12,044","2386,61","26,717","2671,99","5,547","2741,94","10,518","2741,87","20,656","2837,23","40,806","2786,62","80,87","2794,46","161,084","2816,01","321,198"
random8-400.txt,"10648,26","958,59","10676,83","4,217","10658,41","53,402","10648,26","92,81","10648,26","139,794","10648,26","554,978","10710,61","85,874","10652,76","28,071","10658,97","11,656","10668,0","38,118","10905,14","5,564","10996,84","10,552","10967,78","20,784","11091,74","40,86","11102,62","80,983","11130,69","161,092","11167,33","321,208"
random9-400.txt,"2544,46","310,613","2572,31","3,397","2551,48","23,515","2547,68","54,988","2544,46","67,044","2544,46","95,798","2548,28","10,739","2553,19","7,801","2557,4","10,17","2555,41","17,136","2869,62","5,512","2767,88","10,549","2888,22","20,787","2996,54","40,918","2963,36","80,889","2995,2","161,146","3040,05","321,248"
