Lista,LP, ,Greedy, ,Greedy M2, ,Greedy M3, ,Greedy M4, ,Greedy M5, ,DTC 05, ,DTC 10, ,DTC 20, ,DTC 40, ,AG 5, ,AG 10, ,AG 20, ,AG 40, ,AG 80, ,AG 160, ,AG 320, 
 ,Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s)
random33-200.txt,"1611,34","22,883","1626,77","1,266","1623,03","3,76","1621,78","7,912","1617,04","19,64","1611,34","11,116","1627,84","3,857","1627,93","4,924","1632,87","4,68","1633,04","8,323","1852,92","5,397","1844,23","10,422","1886,34","20,51","1883,18","40,606","1921,22","80,717","2010,93","160,82","2054,7","320,941"
random34-200.txt,"1114,0","144,165","1129,06","1,035","1118,07","2,064","1114,0","5,32","1114,0","12,558","1114,0","16,769","1126,76","11,016","1125,42","6,732","1132,37","5,212","1129,74","8,075","1377,41","5,39","1332,46","10,429","1430,69","20,465","1461,88","40,679","1487,62","80,733","1462,23","160,848","1515,05","320,907"
random35-200.txt,"5864,56","99,733","5875,0","1,15","5866,95","3,473","5864,56","13,872","5864,56","27,168","5864,56","42,799","5870,73","8,828","5874,08","5,294","5880,75","4,335","5877,06","6,928","6130,14","5,288","6162,25","10,377","6239,81","20,507","6196,67","40,538","6134,53","80,643","6184,96","160,604","6351,84","320,786"
random36-200.txt,"3391,64","12,739","3410,36","1,165","3394,83","3,054","3394,83","5,678","3394,83","7,888","3391,64","9,58","3391,64","3,833","3402,98","2,863","3394,83","5,339","3394,83","8,205","3732,61","5,335","3709,05","10,298","3769,57","20,42","3731,63","40,539","3688,91","80,596","3761,52","160,755","3775,75","320,806"
random37-200.txt,"1363,29","28,085","1371,61","0,944","1366,21","3,753","1366,21","7,03","1366,21","13,514","1363,32","23,293","1375,05","2,496","1391,34","3,909","1395,69","6,977","1381,86","13,107","1612,75","5,303","1589,71","10,37","1635,12","20,526","1575,64","40,627","1687,68","80,65","1685,36","160,831","1705,14","320,841"
random38-200.txt,"1350,26","26,661","1375,92","1,43","1353,64","3,271","1350,26","5,812","1350,26","9,313","1350,26","11,253","1378,73","3,431","1365,26","3,527","1366,85","5,651","1360,87","7,601","1620,0","5,332","1628,49","10,318","1576,92","20,47","1608,46","40,505","1625,6","80,57","1599,54","160,676","1662,64","320,748"
random39-200.txt,"2657,3","99,959","2673,6","0,998","2660,79","4,163","2660,43","5,841","2659,73","20,815","2657,3","22,487","2669,97","4,67","2667,45","5,064","2667,83","6,677","2665,61","12,969","2886,15","5,334","2898,56","10,418","2905,49","20,496","2947,74","40,631","2874,87","80,644","2965,85","160,956","3003,08","320,882"
random4-200.txt,"3797,72","240,119","3805,09","0,698","3798,91","2,225","3798,91","5,607","3797,72","11,203","3797,72","37,791","3809,03","4,634","3804,15","3,945","3806,18","4,946","3812,53","13,348","4039,97","5,293","4007,33","10,381","4156,62","20,44","4069,91","40,528","4137,58","80,548","4163,87","160,696","4259,15","320,805"
random5-200.txt,"911,85","24,629","929,66","1,036","914,24","3,105","911,85","4,44","911,85","6,122","911,85","7,833","932,93","5,096","941,56","4,901","932,62","10,793","924,11","11,813","1157,23","5,347","1151,77","10,322","1201,01","20,433","1208,67","40,501","1201,31","80,589","1332,48","160,616","1412,58","320,733"
random6-200.txt,"2750,4","27,912","2763,33","1,047","2750,4","2,561","2750,4","4,006","2750,4","5,903","2750,4","7,758","2757,37","4,876","2771,46","3,519","2754,03","5,126","2768,2","28,351","2843,47","5,355","3008,89","10,354","3031,65","20,463","2961,99","40,472","3058,14","80,628","3085,45","160,598","3165,28","320,695"
random7-200.txt,"890,43","44,677","890,43","0,619","890,43","2,108","890,43","3,812","890,43","5,345","890,43","8,835","899,57","3,933","897,85","4,7","897,42","5,95","895,88","24,106","1192,94","5,319","1131,79","10,425","1130,44","20,465","1216,03","40,55","1190,12","80,742","1210,6","160,69","1222,6","321,026"
random8-200.txt,"1695,57","72,671","1705,38","0,989","1695,57","2,58","1695,57","6,32","1695,57","12,339","1695,57","28,306","1695,57","4,691","1699,71","4,496","1706,39","4,912","1706,92","11,886","1933,68","5,375","1939,88","10,404","1915,17","20,432","1980,11","40,585","2039,01","80,666","2055,81","160,769","2078,68","320,841"
random9-200.txt,"995,77","619,014","1016,54","0,866","998,93","6,414","997,5","34,323","997,5","38,141","997,5","54,973","1009,6","13,122","998,56","5,029","1015,59","7,316","1023,03","26,365","1288,94","5,305","1268,24","10,335","1316,51","20,454","1356,84","40,601","1405,81","80,638","1389,82","160,732","1481,24","320,808"
